Andrei Shleifer,Department of EconomicsHarvard University,National Bureau of Economic Research (NBER),Memory and Reference Prices: An Application to Rental Choice,Bubbles for Fama,Extrapolation and bubbles,A Real Estate Boom with Chinese Characteristics,Beliefs about Gender,Neglected Risks: The Psychology of Financial Crises,Expectations and Investment,Informality and Development,Banks as patient fixed-income investors,Stereotypes
James J. Heckman,Department of EconomicsUniversity of Chicago,,The Race Between Demand and Supply: Tinbergen’s Pioneering Studies of Earnings Inequality,Gender differences in the benefits of an influential early childhood program,Evaluation of the Reggio approach to early education,Unordered Monotonicity,The Nonmarket Benefits of Education and Ability,Inequality in Human Capital and Endogenous Credit Constraints,Inequality in Human Capital and Endogenous Credit Constraints,The Scandinavian Fantasy: Sources of Intergenerational Mobility in Denmark and the US,"Returns to Education: The Causal Effects of Education on Earnings, Health, and Smoking",Capabilities and Skills
Daron Acemoglu,Economics DepartmentMassachusetts Institute of Technology (MIT),,Automation and New Tasks: How Technology Displaces and Reinstates Labor,Modeling Automation,"Artificial Intelligence, Automation, and Work",Low-Skill and High-Skill Automation,Asymmetric Growth and Institutions in an Interdependent World,Secular Stagnation? The Effect of Aging on Economic Growth in the Age of Automation,Social Mobility and Stability of Democracy: Reevaluating De Tocqueville,Microeconomic Origins of Macroeconomic Tail Risks,Networks and the Macroeconomy: An Empirical Exploration,The Rise and Decline of General Laws of Capitalism
Robert J. Barro,Department of EconomicsHarvard University,,Education and Economic Growth,Gold Returns,"Environmental Protection, Rare Disasters and Discount Rates",Health and Economic Growth,Rare Macroeconomic Disasters,"A new data set of educational attainment in the world, 1950–2010",Crises and Recoveries in an Empirical Model of Consumption Disasters,On the Size Distribution of Macroeconomic Disasters,Stock-market crashes and depressions,Macroeconomic Effects From Government Purchases and Taxes
Joseph Stiglitz,"Department of Economics
School of Arts and Sciences
Columbia University","Finance and Economics Department
Graduate School of Business
Columbia University",Tony Atkinson and his Legacy,Artificial Intelligence and Its Implications for Income Distribution and Unemployment,Where modern macroeconomics went wrong,Real exchange rate policies for economic development,Pareto efficient taxation and expenditures: Pre- and re-distribution,Striving for balance in economics: Towards a theory of the social determination of behavior,"Dynastic inequality, mobility and equality of opportunity",In Praise of Frank Ramsey's Contribution to the Theory of Taxation,Leaders and followers: Perspectives on the Nordic model and the economics of innovation,Nouvelles réflexions sur la mesure du progrès social et du bien-être
Jean Tirole,Institut d'Économie Industrielle (IDEI)Toulouse School of Economics (TSE),,Missed Sales and the Pricing of Ancillary Goods,From Bottom of the Barrel to Cream of the Crop: Sequential Screening With Positive Selection,Deadly Embrace: Sovereign and Financial Balance Sheets Doom Loops,Marking to Market versus Taking to Market,Market Failures and Public Policy,Standard-Essential Patents,"Bonus Culture: Competitive Pay, Screening, and Multitasking",Liquid bundles,Illiquidity and All Its Friends,Regional initiatives and the cost of delaying binding climate change agreements
Peter C. B. Phillips,Cowles Foundation for Research in EconomicsYale University,Department of EconomicsBusiness SchoolUniversity of Auckland,The heterogeneous effects of the minimum wage on employment across states,Random coefficient continuous systems: Testing for extreme sample path behavior,Boundary Limit Theory for Functional Local to Unity Regression,Weak σ-convergence: Theory and applications,Homogeneity pursuit in panel data models: Theory and application,Pythagorean generalization of testing the equality of two symmetric positive definite matrices,Practical Kolmogorov–Smirnov Testing by Minimum Distance Applied to Measure Top Income Shares in Korea,Tribute To T.W. Anderson,Structural inference from reduced forms with many instruments,Sequentially testing polynomial model hypotheses using power transforms of regressors
Kenneth S Rogoff,Department of EconomicsHarvard University,,Dealing with Debt,Recovery from Financial Crises: Evidence from 100 Episodes,Japan’s exorbitant privilege,Costs and Benefits to Phasing out Paper Currency,Shifting Mandates: The Federal Reserve's First Centennial,Financial and Sovereign Debt Crises: Some Lessons Learned and Those Forgotten,Public Debt Overhangs: Advanced-Economy Episodes since 1800,A Decade of Debt,"On Graduation from Default, Inflation and Banking Crises: Elusive or Illusion?",From Financial Crash to Debt Crisis
"Robert E. Lucas, Jr.",Department of EconomicsUniversity of Chicago,,What Was the Industrial Revolution?,"Learning, Career Paths, and the Distribution of Wages",On the stability of money demand,Knowledge Growth and the Allocation of Time,On Efficient Distribution With Private Information,Ideas and Growth,Trade and the Diffusion of the Industrial Revolution,General equilibrium analysis of the Eaton-Kortum model of international trade,Menu Costs and Phillips Curves,Interest Rates and Inflation
Gary S. Becker,,,A Theory of Intergenerational Mobility,Explaining the Worldwide Boom in Higher Education of Women,The Quantity and Quality of Life and the Evolution of World Inequality,Deadweight Costs and the Size of Government,The Endogenous Determination of Time Preference,Rational Addiction and the Effect of Price on Consumption,"The Division of Labor, Coordination Costs, and Knowledge",Fertility and the Economy,A Note on Restaurant Pricing and Other Examples of Social Influences on Price,An Empirical Analysis of Cigarette Addiction
"Eugene F. Fama, Sr.",Booth School of BusinessUniversity of Chicago,,Disappearing Dividends: Changing Firm Characteristics Or Lower Propensity To Pay?,Forecasting Profitability and Earnings,"Market efficiency, long-term returns, and behavioral finance",Testing Trade-Off and Pecking Order Predictions About Dividends and Debt,,,,,,
Martin S. Feldstein,,,Why is growth better in the United States than in other industrial countries?,"Underestimating the Real Growth of GDP, Personal Income, and Productivity",Ending the euro crisis,Raising Revenue by Limiting Tax Expenditures,Coordination in the European Union,The role of currency realignments in eliminating the US and China current account imbalances,U.S. growth in the decade ahead,Preventing a National Debt Explosion,Rethinking the Role of Fiscal Policy,Resolving the Global Imbalance: The Dollar and the U.S. Saving Rate
