,Name,Institution1,Institution2
0,Andrei  Shleifer ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
1,James J. Heckman ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
2,Daron  Acemoglu ,"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)",
3,Robert J. Barro ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
4,Joseph E. Stiglitz ,"Finance and Economics Department, Graduate School of Business, Columbia University, New York City, New York (USA)",
5,Jean  Tirole ,"Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse, France",
6,Peter C. B. Phillips ,"Cowles Foundation for Research in Economics, Yale University, New Haven, Connecticut (USA)","School of Economics, Singapore Management University, Singapore, Singapore"
7,Kenneth S Rogoff ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
8,Robert E. Lucas Jr.,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
9,Gary S. Becker †,,
10,Eugene F. Fama Sr.,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
11,Martin S. Feldstein †,,
12,John Y. Campbell ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
13,Olivier J Blanchard ,"Peter G. Peterson Institute for International Economics (IIE), Washington, District of Columbia (USA)",
14,David E. Card ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
15,John  List ,"Department of Economics, University of Chicago, Chicago, Illinois (USA)",
16,Richard  Blundell ,"Department of Economics, University College London (UCL), London, United Kingdom",
17,Carmen M. Reinhart ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
18,Philippe  Aghion ,"Centre for Economic Performance (CEP), London School of Economics (LSE), London, United Kingdom","Paris School of Economics, Paris, France"
19,Robert F. Engle III,"Finance Department, Stern School of Business, New York University (NYU), New York City, New York (USA)","Volatility Institute, Stern School of Business, New York University (NYU), New York City, New York (USA)"
20,Thomas J. Sargent ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
21,Ross  Levine ,"Walter A. Haas School of Business, University of California-Berkeley, Berkeley, California (USA)",
22,Barry Julian Eichengreen ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
23,Jeffrey Marc Wooldridge ,"Economics Department, Michigan State University, East Lansing, Michigan (USA)",
24,M Hashem Pesaran ,"Department of Economics, University of Southern California, Los Angeles, California (USA)",
25,Nicholas  Cox ,,
26,Paul R. Krugman ,"Woodrow Wilson School of Public and International Affairs, Princeton University, Princeton, New Jersey (USA)",
27,Peter  Nijkamp ,"Afdeling Ruimtelijke Economie, School of Business and Economics, Vrije Universiteit Amsterdam, Amsterdam, Netherlands",
28,Ben S. Bernanke ,"Economic Studies, Brookings Institution, Washington, District of Columbia (USA)",
29,Lawrence H. Summers ,"Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)","National Bureau of Economic Research (NBER), Cambridge, Massachusetts (USA)"
30,Elhanan  Helpman ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
31,Alan B. Krueger †,,
32,Mark L. Gertler ,"Department of Economics, New York University (NYU), New York City, New York (USA)",
33,Robert W. Vishny ,"Booth School of Business, University of Chicago, Chicago, Illinois (USA)",
34,Robert Ernest Hall ,"Department of Economics, Stanford University, Stanford, California (USA)",
35,Edward C. Prescott ,"Department of Economics, W.P. Carey School of Business, Arizona State University, Tempe, Arizona (USA)",
36,Maurice  Obstfeld ,"Department of Economics, University of California-Berkeley, Berkeley, California (USA)",
37,Michael  Woodford ,"Department of Economics, School of Arts and Sciences, Columbia University, New York City, New York (USA)",
38,James H. Stock ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
39,N. Gregory  Mankiw ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
40,Kenneth R. French ,"Economics Department, Dartmouth College, Hanover, New Hampshire (USA)",
41,Raghuram G. Rajan ,"George J. Stigler Center for the Study of the Economy and the State, Booth School of Business, University of Chicago, Chicago, Illinois (USA)","Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)"
42,Alberto  Alesina ,"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)",
43,Angus S. Deaton ,"Leonard D. Schaeffer Center for Health Policy and Economics, University of Southern California, Los Angeles, California (USA)",
44,Jeffrey Alexander Frankel ,"Kennedy School of Government, Harvard University, Cambridge, Massachusetts (USA)",
